emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,2,13,-11,-1,1,2,-1
0,4,-1,2,-2,-10,-7,1
-2,0,15,3,-5,4,1,-2
0,-2,-3,12,15,-4,-10,-1
-1,2,0,-5,-2,22,14,-1
2,-1,-11,-23,-7,-14,-25,0
-4,-6,-10,5,4,15,19,1
0,0,9,-1,-12,-16,-6,-2
-1,-1,2,2,7,-1,-15,-1
-1,2,-3,-1,1,7,-1,-2
1,1,0,-5,-3,0,3,2
-1,-4,-11,-3,-6,-7,26,-2
-3,-2,6,3,-1,-10,-19,-5
-1,-4,-1,3,-7,4,12,2
0,-2,-2,-1,2,7,15,0
-1,4,-9,-11,-5,-15,-1,-2
2,5,16,18,3,-7,-2,0
-3,0,11,9,3,-9,-12,-5
0,5,-19,-9,0,21,43,8
-2,-28,-5,-22,-2,-16,-34,-2
-1,5,-2,2,-10,-21,7,-1
-10,-8,-7,1,1,-4,-4,-4
-3,-4,0,-3,-1,-9,-13,1
-3,3,-2,-3,-2,18,12,-4
1,-2,-2,-1,-1,-19,-10,-2
-1,-8,3,2,-3,-6,29,-2
2,2,-31,-8,-1,-7,-26,1
0,5,22,10,0,9,23,1
7,5,0,0,6,16,-20,4
-3,6,5,12,-1,3,18,-1
1,-3,2,-4,-4,-5,-19,-2
3,8,4,9,0,-7,6,4
-7,-1,-11,-12,-4,-1,-3,-7
4,4,-9,-9,1,-6,10,2
-5,-9,5,1,-4,-12,-32,-7
-2,3,1,10,2,9,15,-1
-5,-3,-7,-16,-7,15,26,4
0,-2,-2,0,1,-9,-31,-1
-6,-6,4,-5,-2,-8,-13,-9
-1,1,-7,-1,-1,-1,6,1
2,0,1,-2,5,-2,3,0
0,-1,-5,6,0,-6,-19,-1
0,3,8,7,-5,13,27,2
0,2,-3,-6,5,4,-26,0
1,1,-5,-5,0,3,11,1
-3,-4,-3,-6,-3,7,13,0
-1,-5,-2,4,0,-1,-22,-5
2,7,0,4,-5,-12,15,2
2,-1,2,-1,3,-14,-11,-2
-5,-5,-16,-5,0,3,4,-5
4,3,3,-11,-2,-1,10,6
3,4,17,21,0,-4,-17,1
-10,-8,0,-4,-5,-9,-2,-6
-1,2,-7,-1,-1,15,-14,-3
10,4,17,7,4,-4,21,5
-8,9,-12,-10,-9,-2,7,-11
-5,-7,2,3,1,-3,-3,2
12,8,11,10,11,-4,-5,7
-3,0,0,1,-5,2,1,-1
-7,-6,-13,-15,-6,-16,-8,-6
6,5,-2,10,3,6,-5,3
6,4,9,-4,6,17,18,4
-11,-6,-7,-3,4,3,5,-7
-3,-10,-6,-3,-1,21,23,1
10,6,5,3,-5,-31,-22,5
-8,-7,-5,-5,-4,6,-7,-5
